"","metabolite.X","metabolite.Feature","metabolite.X.IncMSE","metabolite.X.IncMSE.pval","metabolite.IncNodePurity","metabolite.IncNodePurity.pval","log2FC"
"x16411_677_55371_7_837",568,"x16411_677_55371_7_837",1.00101111721876,0.0495049504950495,1.90128139578238e-06,0.544554455445545,0.749167809778341
"x12848_702_56888_6_368",573,"x12848_702_56888_6_368",1.0010064698824,0.0297029702970297,3.73448743481637e-05,0.326732673267327,0.31490793700371
"x34118_992_76543_14_167",582,"x34118_992_76543_14_167",1.00100189572683,0.0396039603960396,0.00230462233232385,0.217821782178218,0.024537603445272
"x6093_1041_75864_3_952",628,"x6093_1041_75864_3_952",1.00100150250438,0.0396039603960396,0.0262730902624845,0.0396039603960396,1.92900306143594
"x19980_732_6139_9_405",665,"x19980_732_6139_9_405",1.00100150250438,0.0495049504950495,0.000566914521185798,0.257425742574257,0.046005847078053
"x22671_796_58578_10_833",703,"x22671_796_58578_10_833",1.00100150250438,0.0495049504950495,8.48844806139493e-05,0.217821782178218,0.0524836989349788
"x37098_922_77047_15_046",729,"x37098_922_77047_15_046",1.00100150250438,0.0198019801980198,1.20196444264309e-09,0.168316831683168,1.00960643124661
"x39192_954_84393_15_891",761,"x39192_954_84393_15_891",1.00100150250438,0.0495049504950495,0.000479815328348845,0.336633663366337,0.352942131623565
"x3573_496_37614_3_145",823,"x3573_496_37614_3_145",1.00100150250438,0.0396039603960396,0.00127301821541893,0.099009900990099,1.29619568851324
"x1283_534_36527_1_521",833,"x1283_534_36527_1_521",1.00100150250438,0.0198019801980198,0.00280589954191244,0.0495049504950495,0.144412762971564
"x22165_825_62033_10_492",846,"x22165_825_62033_10_492",1.00100150250438,0.0396039603960396,0.000639938315102709,0.099009900990099,0.153556755729305
"x28437_798_59718_12_833",873,"x28437_798_59718_12_833",1.00100150250438,0.0396039603960396,1.89321268634135e-06,0.178217821782178,7.96264351954123
"x33230_1044_79493_13_998",883,"x33230_1044_79493_13_998",1.00100150250438,0.0495049504950495,7.71508139799071e-05,0.495049504950495,0.437436329601284
"x18408_524_50459_8_642",896,"x18408_524_50459_8_642",1.00100150250438,0.0198019801980198,0.00463636781436615,0.0891089108910891,0.723857234548792
"x3480_526_38736_3_086",921,"x3480_526_38736_3_086",1.00100150250438,0.0495049504950495,4.04823104639851e-06,0.326732673267327,0.867649747386638
"x23417_526_52002_11_308",936,"x23417_526_52002_11_308",1.00100150250438,0.0396039603960396,6.17831646287925e-09,0.405940594059406,0.544877976963386
"x18463_676_52136_8_656",937,"x18463_676_52136_8_656",1.00100150250438,0.0495049504950495,0.000274224032608046,0.207920792079208,0.0813834852482757
"x13091_648_5207_6_482",964,"x13091_648_5207_6_482",1.00100150250438,0.0297029702970297,0.0569850082078345,0.0099009900990099,0.185997568344064
